"ComputerName","ObjectGUID","Username","WinVersion","Date","APCcSvcrunning","PortFound"
"WIN-HUVO9UDJ1U3","8748d5a3-9207-4372-b42a-460395733da7","Administrator","Microsoft Windows Server 2022 Datacenter","Tue 03/11/2025 ","0","false"
"DESKTOP-7KESEU8","411d2deb-d305-459b-979c-2ff5aab3354c","Administrator","Microsoft Windows 10 Education","Tue 03/11/2025 ","0","false"
"DESKTOP-VFV10QJ","2bf4e834-342f-4c5d-8b42-f831db679a54","Administrator","Microsoft Windows 10 Education","Tue 03/11/2025 ","0","false"
